chrom	pos	coverage	rolling_mean	peak	trough	PTR	log2_PTR
NZ_CP040529.1	1	1081.26	1081.26	True	False	1.0	0.0
NZ_CP040529.1	1001	1141.288	1111.274	True	False	1.0270086405332979	0.038448319535466055
NZ_CP040529.1	2001	1275.463	1166.0036666666667	True	False	1.093875633895948	0.1294487229926949
NZ_CP040529.1	3001	921.128	1104.78475	True	False	0.8337624139000833	-0.2622917581238603
NZ_CP040529.1	4001	954.224	1074.6726	True	False	0.8879206560211919	-0.17149733078837914
NZ_CP040529.1	5001	898.278	1045.2735	True	False	0.8593712554656748	-0.21864657270995377
NZ_CP040529.1	6001	897.1	1024.105857142857	True	False	0.8759836629611811	-0.19102413097948553
NZ_CP040529.1	7001	754.265	990.37575	True	False	0.7615947785474351	-0.39290450724668496
NZ_CP040529.1	8001	725.081	960.8985555555555	True	False	0.7545864189386624	-0.40624196015964364
NZ_CP040529.1	9001	726.511	937.4598	True	False	0.7749782977360736	-0.36777218474169104
NZ_CP040529.1	10001	1076.247	950.0768181818183	True	False	1.1327999793318146	0.1798931442112592
NZ_CP040529.1	11001	1066.727	959.7976666666667	True	False	1.1114082030483508	0.15238879364064872
NZ_CP040529.1	12001	1316.026	987.1998461538461	True	False	1.3330897539411786	0.41477391711607375
NZ_CP040529.1	13001	1074.699	993.4497857142858	True	False	1.0817849230570789	0.11341369576141638
NZ_CP040529.1	14001	1301.285	1013.9721333333333	True	False	1.2833538094603785	0.3599189637133536
NZ_CP040529.1	15001	1338.228	1034.238125	True	False	1.293926386633639	0.37175554263218386
NZ_CP040529.1	16001	1125.665	1039.6161764705885	True	False	1.0827698005061255	0.11472655507073186
NZ_CP040529.1	17001	1279.684	1052.9532777777777	True	False	1.215328378767888	0.28134617918998217
NZ_CP040529.1	18001	1426.696	1072.623947368421	True	False	1.3300989629219637	0.4115335900913212
NZ_CP040529.1	19001	1188.439	1078.4147	True	False	1.1020241100200137	0.14015578745336457
NZ_CP040529.1	20001	1329.361	1090.3645238095237	True	False	1.2191895196254816	0.28592240632860755
NZ_CP040529.1	21001	1124.353	1091.9094545454545	True	False	1.029712670148141	0.04224182558140903
NZ_CP040529.1	22001	1067.446	1090.8458260869565	True	False	0.9785489154128263	-0.03128412522111716
NZ_CP040529.1	23001	1110.245	1091.654125	True	False	1.0170300048103604	0.02436224276724882
NZ_CP040529.1	24001	1172.797	1094.89984	True	False	1.0711454666026803	0.09915441817911205
NZ_CP040529.1	25001	1194.292	1098.7226153846154	True	False	1.0869822676599132	0.12032840534427218
NZ_CP040529.1	26001	1315.112	1106.737037037037	True	False	1.1882786569796433	0.24887319464162827
NZ_CP040529.1	27001	1087.724	1106.058	True	False	0.9834240157387768	-0.02411450791657152
NZ_CP040529.1	28001	1166.852	1108.1543448275863	True	False	1.052968844499316	0.07446275018006736
NZ_CP040529.1	29001	1250.273	1112.8916333333334	True	False	1.1234454124299433	0.16793002649390312
NZ_CP040529.1	30001	1312.474	1119.3297741935482	True	False	1.1725534603469363	0.22965370117916228
NZ_CP040529.1	31001	1238.141	1123.042625	True	False	1.10248798437192	0.14076293244356025
NZ_CP040529.1	32001	1250.733	1126.9120303030304	True	False	1.1098763402709204	0.15039894394820838
NZ_CP040529.1	33001	416.1388888888889	1106.0069379084969	True	False	0.3762534163445883	-1.410223413424274
NZ_CP040530.1	1	538.799	1089.8009968253969	True	False	0.49440127286497976	-1.0162456373375706
NZ_CP040530.1	1001	660.094	1077.8646913580246	True	False	0.6124089649586105	-0.7074326925090647
NZ_CP040530.1	2001	476.378	1061.6082942942944	True	False	0.4487323644326582	-1.1560728539917884
NZ_CP040530.1	3001	626.803	1050.1660497076025	True	False	0.5968608489814735	-0.744533471410805
NZ_CP040530.1	4001	590.286	1038.3742535612537	True	False	0.5684713367800958	-0.8148404868915945
NZ_CP040530.1	5001	566.988	1026.5895972222222	True	False	0.5523024990065881	-0.8564694396923007
NZ_CP040530.1	6001	595.988	1016.0871192411923	True	False	0.5865520669576839	-0.7696689160324348
NZ_CP040530.1	7001	584.511	1005.8114973544973	True	False	0.58113374279116	-0.7830578695415811
NZ_CP040530.1	8001	578.431	995.8724160206718	True	False	0.5808284180731774	-0.7838160533817584
NZ_CP040530.1	9001	498.72	984.5734974747476	True	False	0.5065340487826723	-0.9812688458828581
NZ_CP040530.1	10001	552.155	974.9641975308642	True	False	0.5663336165557202	-0.8202759267097393
NZ_CP040530.1	11001	621.82	967.2871497584541	True	False	0.642849437372633	-0.6374472133078253
NZ_CP040530.1	12001	530.365	957.9909338061466	True	False	0.5536221495258133	-0.8530264308653868
NZ_CP040530.1	13001	590.98	950.3448726851852	True	False	0.6218584610555059	-0.6853418437435113
NZ_CP040530.1	14001	549.088	942.1559569160997	True	False	0.582799478121749	-0.7789285093715218
NZ_CP040530.1	15001	530.153	933.9158977777779	True	False	0.5676667473607437	-0.8168838606249534
NZ_CP040530.1	16001	476.773	924.952311546841	True	False	0.5154568446914526	-0.956076448197634
NZ_CP040530.1	17001	561.547	917.9637478632479	True	False	0.6117311291509254	-0.7090304025472143
NZ_CP040530.1	18001	541.968	910.8694884696016	True	False	0.5950007183911584	-0.7490366845865526
NZ_CP040530.1	19001	529.694	903.810683127572	True	False	0.5860674252787452	-0.7708614430051706
NZ_CP040530.1	20001	562.227	897.6000707070707	True	False	0.6263669292685263	-0.6749200512235882
NZ_CP040530.1	21001	553.147	891.449123015873	True	False	0.6205031624560259	-0.6884895316743589
NZ_CP040530.1	22001	582.108	886.0220857699804	True	False	0.6569903948772678	-0.606055816218339
NZ_CP040530.1	23001	479.244	879.0086704980844	True	False	0.5452096390908632	-0.8751170262408328
NZ_CP040530.1	24001	384.692	870.6304218455743	True	False	0.44185453476863884	-1.1783566042502747
NZ_CP040530.1	25001	468.185	863.9229981481482	True	False	0.5419290851193594	-0.8838240168141134
NZ_CP040530.1	26001	554.892	858.8569162112933	True	False	0.6460820068234593	-0.6302107978804806
NZ_CP040530.1	27001	601.262	854.7021594982078	True	False	0.7034754660652763	-0.5074279850050255
NZ_CP040530.1	28001	484.456	848.8252363315697	True	False	0.5707370366292466	-0.809101908554937
NZ_CP040530.1	29001	524.704	843.7608420138889	True	False	0.6218634165904596	-0.685330347080421
NZ_CP040530.1	30001	600.449	840.017582905983	True	False	0.7148052757690952	-0.4843778123576762
NZ_CP040530.1	31001	613.305	836.5825437710438	True	False	0.7331075750581876	-0.44790318218222125
NZ_CP040530.1	32001	472.309	831.1456252072969	True	False	0.5682626313315443	-0.8153702472884183
NZ_CP040530.1	33001	623.465	828.0914983660131	True	False	0.7528938543992044	-0.40948161183103193
NZ_CP040530.1	34001	644.972	825.4375925925926	True	False	0.7813697919599547	-0.35592261340210335
NZ_CP040530.1	35001	625.294	822.5783984126984	True	False	0.7601634095991441	-0.3956185120188841
NZ_CP040530.1	36001	622.67	819.7627871674491	True	False	0.759573390921452	-0.3967387284442731
NZ_CP040530.1	37001	564.21	816.2134429012345	True	False	0.6912530109704061	-0.5327142354132726
NZ_CP040530.1	38001	560.867	812.7155464231355	True	False	0.6901147670528107	-0.5350917908377123
NZ_CP040530.1	39001	520.705	808.769457957958	True	False	0.6438237681659186	-0.6352622568382442
NZ_CP040530.1	40001	518.598	804.9005051851851	True	False	0.6443007510359122	-0.6341938184344678
NZ_CP040530.1	41001	514.837	801.083880116959	True	False	0.6426755209764466	-0.637837572627119
NZ_CP040530.1	42001	461.496	796.6736479076479	True	False	0.579278605752876	-0.7876707113279986
NZ_CP040530.1	43001	540.199	793.3855113960113	True	False	0.6808783274217929	-0.5545310824185741
NZ_CP040530.1	44001	505.297	789.7388213783403	True	False	0.6398279865716863	-0.6442439964551421
NZ_CP040530.1	45001	507.444	786.2101361111111	True	False	0.6454304984034008	-0.6316663440600813
NZ_CP040530.1	46001	587.053	783.7514060356652	True	False	0.7490295972410488	-0.4169053682604098
NZ_CP040530.1	47001	518.505	780.5166937669377	True	False	0.6643099425555984	-0.5900715878645143
NZ_CP040530.1	48001	572.785	778.0139022757697	True	False	0.7362143508291377	-0.4418022228233062
NZ_CP040530.1	49001	611.103	776.0268677248678	True	False	0.7874766008960661	-0.34469103903537157
NZ_CP040530.1	50001	658.782	774.6475163398692	True	False	0.8504280800029903	-0.23373886136236258
NZ_CP040530.1	51001	524.454	771.7382894056847	True	False	0.6795749377731171	-0.557295446922548
NZ_CP040530.1	52001	643.552	770.2648837803321	True	False	0.8354944040049622	-0.2592979294869872
NZ_CP040530.1	53001	631.151	768.6840441919193	True	False	0.8210798764055247	-0.2844055175996445
NZ_CP040530.1	54001	593.09	766.7110774032459	True	False	0.7735508426573428	-0.37043197704752673
NZ_CP040530.1	55001	565.422	764.4745320987655	True	False	0.7396217614309628	-0.4351404220021102
NZ_CP040530.1	56001	703.615	763.805746031746	True	False	0.9211962644370519	-0.11841953404868714
NZ_CP040530.1	57001	594.023	761.9602814009661	True	False	0.779598378681641	-0.3591970046383893
NZ_CP040530.1	58001	618.721	760.4200740740741	True	False	0.8136568471754062	-0.29750761643801127
NZ_CP040530.1	59001	660.143	759.3532966903073	True	False	0.8693489616457556	-0.20199269554691476
NZ_CP040530.1	60001	579.057	757.4554409356725	True	False	0.764476652626193	-0.38745565301972723
NZ_CP040530.1	61001	619.524	756.0186550925927	True	False	0.819455969541022	-0.2872616614032139
NZ_CP040530.1	62001	569.377	754.0945143184421	True	False	0.7550472642207302	-0.40536113823426434
NZ_CP040530.1	63001	512.106	751.6252437641723	True	False	0.6813315601739912	-0.5535710590417838
NZ_CP040530.1	64001	467.506	748.7553524130192	True	False	0.6243775066092885	-0.6795095301656401
NZ_CP040530.1	65001	622.312	747.4909188888888	True	False	0.8325345288810176	-0.26441798653243465
NZ_CP040530.1	66001	701.347	747.0340484048405	True	False	0.9388420802205774	-0.09104558795917593
NZ_CP040530.1	67001	652.491	746.1071557734205	True	False	0.8745271975358858	-0.1934248426558154
NZ_CP040530.1	68001	613.3	744.8177659115427	True	False	0.8234228935844661	-0.28029453449435837
NZ_CP040530.1	69001	653.517	743.9398739316239	True	False	0.8784540564363745	-0.18696126031526752
NZ_CP040530.1	70001	612.99	742.6927322751322	True	False	0.8253615167637274	-0.27690192195122654
NZ_CP040530.1	71001	620.797	741.5427725366877	True	False	0.8371695106357283	-0.25640832468840863
NZ_CP040530.1	72001	631.953	740.5185690550363	True	False	0.8533925095307534	-0.22871864723826246
NZ_CP040530.1	73001	587.163	739.0986100823045	True	False	0.7944312057826962	-0.3320058008935387
NZ_CP040530.1	74001	579.172	737.6313934760449	True	False	0.7851780782684503	-0.3489082007573558
NZ_CP040530.1	75001	549.846	735.9242535353535	True	False	0.7471502635747629	-0.4205296742111349
NZ_CP040530.1	76001	634.205	735.0078638638638	True	False	0.8628547137795872	-0.21281043392472232
NZ_CP040530.1	77001	555.535	733.4054275793651	True	False	0.7574732598224234	-0.40073313514997105
NZ_CP040530.1	78001	561.462	731.8838043264503	True	False	0.7671463648751063	-0.3824262371924549
NZ_CP040530.1	79001	576.033	730.5166920077972	True	False	0.7885281832736707	-0.3427657746939899
NZ_CP040530.1	80001	580.131	729.2089903381643	True	False	0.7955620510533877	-0.3299536347826279
NZ_CP040530.1	81001	500.309	727.235714559387	True	False	0.6879598869853691	-0.539603647015794
NZ_CP040530.1	82001	541.68	725.6497682811017	True	False	0.7464758119927688	-0.42183258132384904
NZ_CP040530.1	83001	558.037	724.2293210922787	True	False	0.7705252794216777	-0.3760858053789413
NZ_CP040530.1	84001	526.422	722.5670746965452	True	False	0.7285441288908441	-0.4569117339856062
NZ_CP040530.1	85001	618.854	721.702799074074	True	False	0.8574914782012397	-0.22180576111550038
NZ_CP040530.1	86001	624.152	720.8965941230487	True	False	0.8657996238132657	-0.20789492118261824
NZ_CP040530.1	87001	527.356	719.3101958105647	True	False	0.7331412832341986	-0.4478368488062707
NZ_CP040530.1	88001	615.082	718.4628121047876	True	False	0.8561083324522724	-0.22413472722976546
NZ_CP040530.1	89001	665.45	718.0352894265233	True	False	0.926765034809749	-0.10972447996618767
NZ_CP040530.1	90001	565.948	716.8185911111111	True	False	0.7895275136806192	-0.3409385524763952
NZ_CP040530.1	91001	674.557	716.4831816578484	True	False	0.9414833694200098	-0.08699248392166171
NZ_CP040530.1	92001	576.445	715.3805188101488	True	False	0.8057879475929367	-0.3115278680530458
NZ_CP040530.1	93001	567.432	714.2246710069445	True	False	0.7944726961055687	-0.33193045601837606
NZ_CP040530.1	94001	605.479	713.3816813092162	True	False	0.8487448106164004	-0.2365972464087816
NZ_CP040530.1	95001	680.739	713.1305837606837	True	False	0.9545783275906256	-0.06706451256435186
NZ_CP040530.1	96001	530.577	711.7370449533504	True	False	0.7454677310421235	-0.4237821907664147
NZ_CP040530.1	97001	589.166	710.8084764309765	True	False	0.8288674369195025	-0.2707867089581875
NZ_CP040530.1	98001	668.771	710.4924051796157	True	False	0.941278182742758	-0.08730693882707395
NZ_CP040530.1	99001	576.574	709.4930140961858	True	False	0.8126563455096035	-0.29928269762193355
NZ_CP040530.1	100001	520.626	708.0939991769546	True	False	0.7352498405651565	-0.44369352861539424
NZ_CP040530.1	101001	535.225	706.8229035947712	True	False	0.7572264527336964	-0.4012032842668717
NZ_CP040530.1	102001	575.17	705.8619334955393	True	False	0.814847738213715	-0.2953975911830838
NZ_CP040530.1	103001	640.126	705.3855861513688	True	False	0.9074838110778114	-0.14005618829256372
NZ_CP040530.1	104001	598.4	704.6159056754597	True	False	0.8492570138994536	-0.23572686670938187
NZ_CP040530.1	105001	516.674	703.2734634920635	True	False	0.7346701202608802	-0.4448314948635365
NZ_CP040530.1	106001	495.982	701.8033112687156	True	False	0.7067250781467059	-0.5007789909279746
NZ_CP040530.1	107001	518.532	700.5126682316119	True	False	0.7402178768715098	-0.43397811655477364
NZ_CP040530.1	108001	640.907	700.0958453768453	True	False	0.9154560825239788	-0.12743741808880618
NZ_CP040530.1	109001	578.979	699.2547561728395	True	False	0.8279943681311048	-0.2723071400817939
NZ_CP040530.1	110001	587.159	698.4816819923371	True	False	0.8406219019591147	-0.25047104925143143
NZ_CP040530.1	111001	613.374	697.8987526636225	True	False	0.87888679791872	-0.18625073907331416
NZ_CP040530.1	112001	581.699	697.1082781557068	True	False	0.8344456926246271	-0.26110993568970065
NZ_CP040530.1	113001	587.619	696.3684857357357	True	False	0.8438334187095811	-0.24496987050635777
NZ_CP040530.1	114001	674.211	696.2197777777777	True	False	0.9683881749983803	-0.046342632212381996
NZ_CP040530.1	115001	673.303	696.0669992592592	True	False	0.9672962526833132	-0.04797028499870254
NZ_CP040530.1	116001	508.456	694.8245423105225	True	False	0.7317761089860396	-0.45052577952465933
NZ_CP040530.1	117001	510.824	693.6140124269007	True	False	0.7364672438099501	-0.44130673560569156
NZ_CP040530.1	118001	574.023	692.8323718228031	True	False	0.8285164252498446	-0.27139779588166957
NZ_CP040530.1	119001	601.305	692.2380382395382	True	False	0.8686390616863613	-0.2031712643220199
NZ_CP040530.1	120001	594.165	691.6053089605734	True	False	0.8591099465285795	-0.21908531956404262
NZ_CP040530.1	121001	602.665	691.0351787749288	True	False	0.8721191315736023	-0.19740287411549587
NZ_CP040530.1	122001	540.349	690.0753941967446	True	False	0.783028933568878	-0.35286247760716455
NZ_CP040530.1	123001	494.568	688.8380056258791	True	False	0.7179743219171464	-0.4779958473644484
NZ_CP040530.1	124001	569.345	688.0864772886094	True	False	0.8274323341500508	-0.2732867590130518
NZ_CP040530.1	125001	560.189	687.2871180555555	True	False	0.8150727480312212	-0.2949992643288977
NZ_CP040530.1	126001	622.31	686.8835334713596	True	False	0.9059905641571883	-0.14243207012856765
NZ_CP040530.1	127001	656.894	686.6984128943759	True	False	0.9565975218018157	-0.06401604105934085
NZ_CP040530.1	128001	533.744	685.7600422631219	True	False	0.77832473038026	-0.3615558970470265
NZ_CP040530.1	129001	612.885	685.3156822493225	True	False	0.8943104847512131	-0.1611523048150841
NZ_CP040530.1	130001	594.569	684.7657023569024	True	False	0.8682809287228413	-0.2037661986432598
NZ_CP040530.1	131001	571.39	684.0827161981259	True	False	0.8352644884460324	-0.25969499221133807
NZ_CP040530.1	132001	512.699	683.0564664005323	True	False	0.7505953390672716	-0.4138927632628077
NZ_CP040530.1	133001	522.826	682.1027136243387	True	False	0.7664915995158191	-0.38365811435788283
NZ_CP040530.1	134001	596.39	681.5955378040762	True	False	0.8749910568977808	-0.19265982335400367
NZ_CP040530.1	135001	555.569	680.8542052287581	True	False	0.8159882038377599	-0.293379798557963
NZ_CP040530.1	136001	527.779	679.9590285899935	True	False	0.7761923554341741	-0.36551387051370077
NZ_CP040530.1	137001	739.229	680.3036214470285	True	False	1.0866162941006183	0.11984258588030185
NZ_CP040530.1	138001	646.289	680.107005138086	True	False	0.9502754641804935	-0.07358231491619685
NZ_CP040530.1	139001	636.399	679.855809706258	True	False	0.9360793728819731	-0.09529722959982305
NZ_CP040530.1	140001	689.993	679.9137365079365	True	False	1.0148243268974548	0.02123000854450449
NZ_CP040530.1	141001	677.436	679.899658459596	True	False	0.9963764381568043	-0.005237189081645195
NZ_CP040530.1	142001	675.227	679.8732592592593	True	False	0.9931659920492806	-0.009893233233515226
NZ_CP040530.1	143001	679.576	679.8715892634208	True	False	0.9995652278046491	-0.0006273800837421477
NZ_CP040530.1	144001	633.792	679.6141613904407	True	False	0.9325762116305936	-0.10070646533853073
NZ_CP040530.1	145001	653.673	679.4700438271605	True	False	0.9620335818164155	-0.0558408396920437
NZ_CP040530.1	146001	636.888	679.2347839165133	True	False	0.9376551600135393	-0.09287065232726646
NZ_CP040530.1	147001	607.517	678.8407301587301	True	False	0.8949330424795625	-0.16014834870745207
NZ_CP040530.1	148001	590.495	678.3579666059503	True	False	0.870476988653118	-0.20012193462710517
NZ_CP040530.1	149001	537.67	677.5933580917874	True	False	0.7934995135049223	-0.3336987563439198
NZ_CP040530.1	150001	565.033	676.9849237237237	True	False	0.8346315851349578	-0.26078857704744357
NZ_CP040530.1	151001	582.296	676.47584348865	True	False	0.8607787042284385	-0.21628570900498803
NZ_CP040530.1	152001	612.74	676.13501010101	True	False	0.9062391250949433	-0.1420363171656476
NZ_CP040530.1	153001	620.885	675.841127068558	True	False	0.9186848434232929	-0.12235806776906284
NZ_CP040530.1	154001	592.599	675.4006925338036	True	False	0.8774036013745139	-0.1886874668588163
NZ_CP040530.1	155001	570.825	674.8502941520468	True	False	0.845854265674204	-0.24151897563236893
NZ_CP040530.1	156001	430.06	673.5686695753345	True	False	0.63847981568255	-0.6472870822811606
NZ_CP040530.1	157001	485.878	672.5911140046296	True	False	0.7223972929214993	-0.46913560834772433
NZ_CP040530.1	158001	647.434	672.460766263673	True	False	0.9627833064481565	-0.05471696752577316
NZ_CP040530.1	159001	633.768	672.2613190148912	True	False	0.9427405416225673	-0.08506732379533027
NZ_CP040530.1	160001	501.78	671.3870558404559	True	False	0.7473781265738906	-0.4200897537338021
NZ_CP040530.1	161001	546.264	670.7486729024944	True	False	0.8144093638473877	-0.29617394568086697
NZ_CP040530.1	162001	519.768	669.9822735476592	True	False	0.7757936598049804	-0.366255109434757
NZ_CP040530.1	163001	525.577	669.2529539842874	True	False	0.7853189094961237	-0.3486494590776274
NZ_CP040530.1	164001	500.242	668.4036527079844	True	False	0.7484130255322652	-0.4180934271327244
NZ_CP040530.1	165001	607.674	668.1000044444445	True	False	0.9095554497194002	-0.13676650253374906
